season,episode,release_date,title
13,13,2009/11/11,Dances with Smurfs
13,14,2009/11/18,Pee
14,01,2010/3/17,Sexual Healing
14,02,2010/3/24,The Tale of Scrotie McBoogerballs
14,03,2010/3/31,Medicinal Fried Chicken
14,04,2010/4/07,You Have 0 Friends
14,05,2010/4/14,200
14,06,2010/4/21,201
14,07,2010/4/28,Crippled Summer
14,08,2010/10/06,Poor And Stupid
14,09,2010/10/13,It's A Jersey Thing
14,10,2010/10/20,Insheeption
14,11,2010/10/27,Coon 2: Hindsight
14,12,2010/11/03,Mysterion Rises
14,13,2010/11/10,Coon Vs. Coon & Friends
14,14,2010/11/17,Crème Fraiche
15,01,2011/4/27,HUMANCENTiPAD
15,02,2011/5/04,Funnybot
15,03,2011/5/11,Royal Pudding
15,04,2011/5/18,T.M.I.
15,05,2011/5/25,Crack Baby Athletic Association
15,06,2011/6/01,City Sushi
15,07,2011/6/08,You're Getting Old
15,08,2011/10/05,Ass Burgers
15,09,2011/10/12,The Last of the Meheecans
15,10,2011/10/19,Bass to Mouth
15,11,2011/10/26,Broadway Bro Down
15,12,2011/11/02,1%
15,13,2011/11/09,A History Channel Thanksgiving
15,14,2011/11/16,The Poor Kid
16,01,2012/3/14,Reverse Cowgirl
16,02,2012/3/21,Cash For Gold
16,03,2012/3/28,Faith Hilling
16,04,2012/4/04,Jewpacabra
16,05,2012/4/11,Butterballs
16,06,2012/4/18,I Should Have Never Gone Ziplining
16,07,2012/4/25,Cartman Finds Love
16,08,2012/9/26,Sarcastaball
16,09,2012/10/03,Raising The Bar
16,10,2012/10/10,Insecurity
16,11,2012/10/17,Going Native
16,12,2012/10/24,A Nightmare On Face Time
16,13,2012/10/31,A Scause For Applause
16,14,2012/11/07,Obama Wins!
17,01,2013/9/25,"Let Go, Let Gov"
17,02,2013/10/02,Informative Murder Porn
17,03,2013/10/09,World War Zimmerman
17,04,2013/10/23,Goth Kids 3: Dawn of the Posers
17,05,2013/10/30,Taming Strange
